date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,17.1,8,23.6,0,,235,5.9,18.5,1025.3,
2022-01-02,14,10.3,19,,,74,6.2,20.4,1027.3,
2022-01-03,14.6,12.8,17.1,0,,13,5.6,18.5,1025.6,
2022-01-04,13.8,8.3,19,,,236,11.7,29.6,1023.2,
2022-01-05,15.4,12,17.2,0,,37,9.9,25.9,1023.9,
2022-01-06,13.8,8.8,17.1,0,,241,10.3,25.9,1022.5,
2022-01-07,13.2,5.6,17.6,0,,110,10.7,25.9,1024.2,
2022-01-08,13.2,7,16.5,0,,90,10.1,25.9,1026.1,
2022-01-09,12.1,6,18,,,98,9.8,27.8,1026.6,
2022-01-10,13.8,8.7,17.2,0,,73,11.7,27.8,1022.7,
2022-01-11,14.5,13,17,,,75,7.2,18.5,1018.8,
2022-01-12,13.9,8,18.2,0,,127,7,18.5,1020.1,
2022-01-13,14,6,22,,,218,6.5,20.4,1022,
2022-01-14,15.8,7.9,21.4,0,,210,6.7,20.4,1024.5,
2022-01-15,15.9,8,21.2,0,,171,7.8,22.2,1025.6,
2022-01-16,13.5,6,19,,,106,9.2,29.6,1026.3,
2022-01-17,14.1,6.6,19,0,,223,9.3,22.2,1026.7,
2022-01-18,13.3,7.5,18.4,0,,159,7,20.4,1026.6,
2022-01-19,13.6,5,18.4,0,,105,8.4,24.1,1026.7,
2022-01-20,11.9,4,17.6,0,,95,7.4,20.4,1023.5,
2022-01-21,13,4,18.7,0,,146,9.3,22.2,1020.3,
2022-01-22,15.6,6.5,22,0,,98,6.4,25.9,1018.6,
2022-01-23,16.1,11,21,,,250,9.4,24.1,1019.1,
2022-01-24,16,13,20,,,248,12.9,25.9,1020.3,
2022-01-25,14.9,9.9,18.5,0,,274,9.5,24.1,1019.8,
2022-01-26,15.6,10,19.2,0,,318,8.3,20.4,1018.2,
2022-01-27,16.6,10.9,19.3,0,,326,10.9,24.1,1018.9,
2022-01-28,17.8,11.4,23.1,0,,110,8.5,24.1,1019.4,
2022-01-29,17.3,12,23.3,0,,95,7.7,25.9,1021.1,
2022-01-30,18.1,12,24.4,0,,104,7.4,25.9,1022,
2022-01-31,16.3,10,20.1,0,,105,9.5,27.8,1024.5,
2022-02-01,16.9,11,20.1,0,,60,7.3,29.6,1025.8,
2022-02-02,15.3,9,19.6,0,,82,6.4,22.2,1023.6,
2022-02-03,15.3,11,25,,,158,6.7,22.2,1023.2,
2022-02-04,16.9,12.9,19.4,0,,87,8.1,29.6,1023.3,
2022-02-05,14.8,12,18,,,77,9.5,31.5,1023,
2022-02-06,15.1,11,17.7,0,,73,8.1,25.9,1022.5,
2022-02-07,16.3,11,20.6,0,,90,5,27.8,1021.3,
2022-02-08,19.1,12.3,23.5,0,,128,6.5,25.9,1022.1,
2022-02-09,19.1,12.9,25.4,0,,130,6.6,24.1,1024.1,
2022-02-10,15.7,11.1,18.6,0,,280,6.3,24.1,1024.4,
2022-02-11,15.6,12.8,18.4,0,,5,8.6,25.9,1023.9,
2022-02-12,15.9,11.7,18.7,0,,90,7.5,24.1,1022.9,
2022-02-13,14.5,10,19.6,,,273,5.4,22.2,1022,
2022-02-14,15.1,11.8,19,,,294,7.9,24.1,1023.5,
2022-02-15,14.9,10.6,17.1,0,,93,11.3,33.3,1027,
2022-02-16,14.7,9.5,17.6,0,,94,9.3,29.6,1029.9,
2022-02-17,14.1,9.5,18,,,88,11,31.5,1026.1,
2022-02-18,16.4,14.8,18.6,0,,339,7.1,25.9,1021,
2022-02-19,13.9,12,15,,,307,8.9,29.6,1021.6,
2022-02-20,13.9,8,17.3,0,,112,10.4,33.3,1021.9,
2022-02-21,15.3,10.4,21.6,,,73,8.9,25.9,1022.5,
2022-02-22,17.1,11,21.6,0,,77,6.3,27.8,1021.9,
2022-02-23,21.3,14.9,25.1,0,,255,6.4,27.8,1018.7,
